,character_list,title
0,"[(('Alice', 'PERSON'), 373), (('Hare', 'PERSON'), 23), (('Ive', 'PERSON'), 17), (('King', 'PERSON'), 10), (('Bill', 'PERSON'), 9), (('Hatter', 'PERSON'), 9), (('Turtle', 'PERSON'), 9), (('Dinah', 'PERSON'), 8), (('Queen', 'PERSON'), 8), (('William', 'PERSON'), 7), (('Soooop', 'PERSON'), 7), (('Duchess', 'PERSON'), 6), (('Im', 'PERSON'), 5), (('Alices', 'PERSON'), 4), (('Mabel', 'PERSON'), 4), (('Lory', 'PERSON'), 4), (('Mary', 'PERSON'), 4), (('Ann', 'PERSON'), 4), (('Footman', 'PERSON'), 4), (('Beauootiful', 'PERSON'), 4), (('the', 'PERSON'), 3), (('Said', 'PERSON'), 3), (('You', 'PERSON'), 3), (('Why', 'PERSON'), 3), (('Mock', 'PERSON'), 3), (('Ill', 'PERSON'), 2), (('Edwin', 'PERSON'), 2), (('Lizard', 'PERSON'), 2), (('Well', 'PERSON'), 2), (('Hush', 'PERSON'), 2), (('Come', 'PERSON'), 2), (('Gryphon', 'PERSON'), 2), (('Tortoise', 'PERSON'), 2), (('Dormouse', 'PERSON'), 2), (('Nothing', 'PERSON'), 2), (('Lewis', 'PERSON'), 1), (('Carroll', 'PERSON'), 1), (('Dinahll', 'PERSON'), 1), (('Romeno', 'PERSON'), 1), (('Ahem', 'PERSON'), 1), (('Conqueror', 'PERSON'), 1), (('Edgar', 'PERSON'), 1), (('Atheling', 'PERSON'), 1), (('Williams', 'PERSON'), 1), (('Caucusrace', 'PERSON'), 1), (('Shakespeare', 'PERSON'), 1), (('Dodo', 'PERSON'), 1), (('Crab', 'PERSON'), 1), (('Ma', 'PERSON'), 1), (('Magpie', 'PERSON'), 1), (('Pat', 'PERSON'), 1), (('fancyWhos', 'PERSON'), 1), (('Caterpillar', 'PERSON'), 1), (('Anything', 'PERSON'), 1), (('Call', 'PERSON'), 1), (('Bythebye', 'PERSON'), 1), (('Of', 'PERSON'), 1), (('Exactly', 'PERSON'), 1), (('Elsie', 'PERSON'), 1), (('Lacie', 'PERSON'), 1), (('Tillie', 'PERSON'), 1), (('Whos', 'PERSON'), 1), (('Idiot', 'PERSON'), 1), (('Did', 'PERSON'), 1), (('Tut', 'PERSON'), 1), (('Oh', 'PERSON'), 1), (('Turtlewe', 'PERSON'), 1), (('Reeling', 'PERSON'), 1), (('Seaography', 'PERSON'), 1), (('Drawlingthe', 'PERSON'), 1), (('Drawlingmaster', 'PERSON'), 1), (('Aliceand', 'PERSON'), 1), (('Dinn', 'PERSON'), 1), (('Soup', 'PERSON'), 1), (('Pennyworth', 'PERSON'), 1), (('Sixteenth', 'PERSON'), 1), (('Shant', 'PERSON'), 1), (('The', 'PERSON'), 1), (('Off', 'PERSON'), 1)]",Alice's Adventures in Wonderland
1,"[(('Bellman', 'PERSON'), 30), (('Beaver', 'PERSON'), 11), (('Baker', 'PERSON'), 8), (('Ive', 'PERSON'), 2), (('Lewis', 'PERSON'), 1), (('Carroll', 'PERSON'), 1), (('William', 'PERSON'), 1), (('Richard', 'PERSON'), 1), (('Ho', 'PERSON'), 1), (('HebrewI', 'PERSON'), 1), (('Said', 'PERSON'), 1), (('Bandersnatch', 'PERSON'), 1)]",The Hunting of the Snark: An Agony in Eight Fits
2,"[(('Anne', 'PERSON'), 1062), (('Marilla', 'PERSON'), 741), (('Diana', 'PERSON'), 377), (('Matthew', 'PERSON'), 325), (('Mrs', 'PERSON'), 273), (('Lynde', 'PERSON'), 130), (('Barry', 'PERSON'), 110), (('Gilbert', 'PERSON'), 106), (('Jane', 'PERSON'), 88), (('Rachel', 'PERSON'), 84), (('Ive', 'PERSON'), 75), (('Allan', 'PERSON'), 71), (('Josie', 'PERSON'), 69), (('Im', 'PERSON'), 68), (('Ruby', 'PERSON'), 64), (('Cuthbert', 'PERSON'), 60), (('Stacy', 'PERSON'), 58), (('Annes', 'PERSON'), 51), (('Gillis', 'PERSON'), 50), (('Shirley', 'PERSON'), 49), (('Blythe', 'PERSON'), 48), (('Pye', 'PERSON'), 47), (('Phillips', 'PERSON'), 44), (('Andrews', 'PERSON'), 41), (('Spencer', 'PERSON'), 31), (('Marillas', 'PERSON'), 27), (('Thomas', 'PERSON'), 26), (('Matthews', 'PERSON'), 22), (('Sloane', 'PERSON'), 22), (('Minnie', 'PERSON'), 21), (('Carmody', 'PERSON'), 19), (('Bell', 'PERSON'), 19), (('You', 'PERSON'), 18), (('Ill', 'PERSON'), 17), (('Charlie', 'PERSON'), 17), (('Cordelia', 'PERSON'), 16), (('Josephine', 'PERSON'), 16), (('May', 'PERSON'), 14), (('Lyndes', 'PERSON'), 13), (('Shes', 'PERSON'), 13), (('Prissy', 'PERSON'), 13), (('Hammond', 'PERSON'), 12), (('Geraldine', 'PERSON'), 11), (('Blewett', 'PERSON'), 11), (('Katie', 'PERSON'), 11), (('She', 'PERSON'), 11), (('Well', 'PERSON'), 10), (('Mary', 'PERSON'), 10), (('Elaine', 'PERSON'), 10), (('Miss', 'PERSON'), 9), (('Oh', 'PERSON'), 8), (('Gertie', 'PERSON'), 8), (('Sloanes', 'PERSON'), 8), (('Joe', 'PERSON'), 8), (('Peter', 'PERSON'), 7), (('And', 'PERSON'), 7), (('Jerry', 'PERSON'), 7), (('Maurice', 'PERSON'), 7), (('Lane', 'PERSON'), 7), (('Julia', 'PERSON'), 7), (('Carrie', 'PERSON'), 7), (('Harris', 'PERSON'), 7), (('Ben', 'PERSON'), 7), (('Hur', 'PERSON'), 7), (('Id', 'PERSON'), 6), (('William', 'PERSON'), 6), (('But', 'PERSON'), 6), (('Boulter', 'PERSON'), 6), (('Annegirl', 'PERSON'), 6), (('Bertram', 'PERSON'), 6), (('Avonlea', 'PERSON'), 5), (('Green', 'PERSON'), 5), (('Violetta', 'PERSON'), 5), (('He', 'PERSON'), 5), (('Chester', 'PERSON'), 5), (('Ross', 'PERSON'), 5), (('Blair', 'PERSON'), 5), (('Avery', 'PERSON'), 5), (('Stella', 'PERSON'), 5), (('Gables', 'PERSON'), 4), (('When', 'PERSON'), 4), (('Flora', 'PERSON'), 4), (('Youll', 'PERSON'), 4), (('Bells', 'PERSON'), 4), (('Harmon', 'PERSON'), 4), (('Tillie', 'PERSON'), 4), (('Wright', 'PERSON'), 4), (('Blythes', 'PERSON'), 4), (('Yes', 'PERSON'), 4), (('Lauretta', 'PERSON'), 4), (('Billy', 'PERSON'), 4), (('Emily', 'PERSON'), 4), (('Frank', 'PERSON'), 4), (('Stockley', 'PERSON'), 4), (('Maynard', 'PERSON'), 4), (('Alexander', 'PERSON'), 3), (('Ann', 'PERSON'), 3), (('Buote', 'PERSON'), 3), (('Bertha', 'PERSON'), 3), (('God', 'PERSON'), 3), (('Why', 'PERSON'), 3), (('No', 'PERSON'), 3), (('Dear', 'PERSON'), 3), (('Rogerson', 'PERSON'), 3), (('Andrewss', 'PERSON'), 3), (('Alice', 'PERSON'), 3), (('MacPherson', 'PERSON'), 3), (('Gil', 'PERSON'), 3), (('Pyes', 'PERSON'), 3), (('Wrights', 'PERSON'), 3), (('White', 'PERSON'), 3), (('Mother', 'PERSON'), 3), (('Samuel', 'PERSON'), 3), (('Susan', 'PERSON'), 3), (('Titian', 'PERSON'), 3), (('Redmond', 'PERSON'), 3), (('Martin', 'PERSON'), 3), (('Cuthberts', 'PERSON'), 2), (('Edward', 'PERSON'), 2), (('DeVere', 'PERSON'), 2), (('Lily', 'PERSON'), 2), (('Bonny', 'PERSON'), 2), (('Walter', 'PERSON'), 2), (('Arent', 'PERSON'), 2), (('Jedediah', 'PERSON'), 2), (('Bolingbroke', 'PERSON'), 2), (('Robert', 'PERSON'), 2), (('Nancy', 'PERSON'), 2), (('Fitzgerald', 'PERSON'), 2), (('Just', 'PERSON'), 2), (('Rachels', 'PERSON'), 2), (('Itll', 'PERSON'), 2), (('It', 'PERSON'), 2), (('Nelly', 'PERSON'), 2), (('Hazel', 'PERSON'), 2), (('Dell', 'PERSON'), 2), (('Youre', 'PERSON'), 2), (('Willowmere', 'PERSON'), 2), (('Madonna', 'PERSON'), 2), (('Barrys', 'PERSON'), 2), (('Sophia', 'PERSON'), 2), (('Isnt', 'PERSON'), 2), (('Jimmy', 'PERSON'), 2), (('Glover', 'PERSON'), 2), (('Priscilla', 'PERSON'), 2), (('Sam', 'PERSON'), 2), (('Lizzie', 'PERSON'), 2), (('Mamie', 'PERSON'), 2), (('Wilson', 'PERSON'), 2), (('Ella', 'PERSON'), 2), (('Even', 'PERSON'), 2), (('Dont', 'PERSON'), 2), (('Mark', 'PERSON'), 2), (('Casar', 'PERSON'), 2), (('Silas', 'PERSON'), 2), (('We', 'PERSON'), 2), (('Bentley', 'PERSON'), 2), (('Its', 'PERSON'), 2), (('Emma', 'PERSON'), 2), (('Blairs', 'PERSON'), 2), (('Bessie', 'PERSON'), 2), (('Montmorency', 'PERSON'), 2), (('Malcolm', 'PERSON'), 2), (('Lancelot', 'PERSON'), 2), (('Arthur', 'PERSON'), 2), (('Janes', 'PERSON'), 2), (('Laura', 'PERSON'), 2), (('Clay', 'PERSON'), 2), (('John', 'PERSON'), 2), (('Sadler', 'PERSON'), 2), (('Lucy', 'PERSON'), 1), (('Maud', 'PERSON'), 1), (('Montgomery', 'PERSON'), 1), (('Table', 'PERSON'), 1), (('Tea', 'PERSON'), 1), (('Lyndea', 'PERSON'), 1), (('Morrison', 'PERSON'), 1), (('Said', 'PERSON'), 1), (('Hepzibah', 'PERSON'), 1), (('Jenkins', 'PERSON'), 1), (('Rosalia', 'PERSON'), 1), (('During', 'PERSON'), 1), (('Sheshes', 'PERSON'), 1), (('Jones', 'PERSON'), 1), (('James', 'PERSON'), 1), (('Thompson', 'PERSON'), 1), (('Hammondgood', 'PERSON'), 1), (('Her', 'PERSON'), 1), (('Kirke', 'PERSON'), 1), (('Annewe', 'PERSON'), 1), (('There', 'PERSON'), 1), (('Go', 'PERSON'), 1), (('Shall', 'PERSON'), 1), (('Cuthbertwhen', 'PERSON'), 1), (('Aunt', 'PERSON'), 1), (('Annebe', 'PERSON'), 1), (('Mauricenot', 'PERSON'), 1), (('Maurices', 'PERSON'), 1), (('Snow', 'PERSON'), 1), (('Queen', 'PERSON'), 1), (('Breakfast', 'PERSON'), 1), (('Yesapologizethats', 'PERSON'), 1), (('Bonnys', 'PERSON'), 1), (('Midian', 'PERSON'), 1), (('Rogersonbecause', 'PERSON'), 1), (('Becoming', 'PERSON'), 1), (('Lots', 'PERSON'), 1), (('Humph', 'PERSON'), 1), (('Butbut', 'PERSON'), 1), (('Yees', 'PERSON'), 1), (('Lady', 'PERSON'), 1), (('Wont', 'PERSON'), 1), (('Birch', 'PERSON'), 1), (('Path', 'PERSON'), 1), (('Andrew', 'PERSON'), 1), (('Violet', 'PERSON'), 1), (('Vale', 'PERSON'), 1), (('Sara', 'PERSON'), 1), (('Hes', 'PERSON'), 1), (('Andrewsbut', 'PERSON'), 1), (('Latin', 'PERSON'), 1), (('Tommy', 'PERSON'), 1), (('Eben', 'PERSON'), 1), (('Will', 'PERSON'), 1), (('PyeI', 'PERSON'), 1), (('Pansy', 'PERSON'), 1), (('Bedrooms', 'PERSON'), 1), (('Em', 'PERSON'), 1), (('Sams', 'PERSON'), 1), (('Mattie', 'PERSON'), 1), (('Wilsons', 'PERSON'), 1), (('Let', 'PERSON'), 1), (('Andrewsshe', 'PERSON'), 1), (('Timothy', 'PERSON'), 1), (('GilI', 'PERSON'), 1), (('Teddy', 'PERSON'), 1), (('Did', 'PERSON'), 1), (('Miranda', 'PERSON'), 1), (('Has', 'PERSON'), 1), (('cry', 'PERSON'), 1), (('Di', 'PERSON'), 1), (('Young', 'PERSON'), 1), (('Such', 'PERSON'), 1), (('Mays', 'PERSON'), 1), (('Shirleyare', 'PERSON'), 1), (('Antonys', 'PERSON'), 1), (('Rhine', 'PERSON'), 1), (('Who', 'PERSON'), 1), (('Mayand', 'PERSON'), 1), (('Something', 'PERSON'), 1), (('Gablesthe', 'PERSON'), 1), (('Mayflowers', 'PERSON'), 1), (('Arty', 'PERSON'), 1), (('What', 'PERSON'), 1), (('Thomass', 'PERSON'), 1), (('MarMarilla', 'PERSON'), 1), (('Gilwith', 'PERSON'), 1), (('Smith', 'PERSON'), 1), (('Mr', 'PERSON'), 1), (('Bentleyshe', 'PERSON'), 1), (('Terry', 'PERSON'), 1), (('Gresham', 'PERSON'), 1), (('Marshall', 'PERSON'), 1), (('Daniel', 'PERSON'), 1), (('Dianas', 'PERSON'), 1), (('Vanilla', 'PERSON'), 1), (('Boute', 'PERSON'), 1), (('Laurette', 'PERSON'), 1), (('Bradley', 'PERSON'), 1), (('Muriel', 'PERSON'), 1), (('Josies', 'PERSON'), 1), (('Shirleys', 'PERSON'), 1), (('Before', 'PERSON'), 1), (('Annenay', 'PERSON'), 1), (('Gileverybody', 'PERSON'), 1), (('That', 'PERSON'), 1), (('Fairy', 'PERSON'), 1), (('Lawsons', 'PERSON'), 1), (('Lucilla', 'PERSON'), 1), (('Brown', 'PERSON'), 1), (('Jenny', 'PERSON'), 1), (('Rob', 'PERSON'), 1), (('Wait', 'PERSON'), 1), (('Things', 'PERSON'), 1), (('None', 'PERSON'), 1), (('of', 'PERSON'), 1), (('the', 'PERSON'), 1), (('Seymour', 'PERSON'), 1), (('Andres', 'PERSON'), 1), (('Each', 'PERSON'), 1), (('Rosamond', 'PERSON'), 1), (('Angel', 'PERSON'), 1), (('Gabriel', 'PERSON'), 1), (('Come', 'PERSON'), 1), (('Goodness', 'PERSON'), 1), (('Does', 'PERSON'), 1), (('My', 'PERSON'), 1), (('head', 'PERSON'), 1), (('Rubys', 'PERSON'), 1), (('Tennysons', 'PERSON'), 1), (('Marmionwhich', 'PERSON'), 1), (('Charlotte', 'PERSON'), 1), (('Charlottes', 'PERSON'), 1), (('Josephines', 'PERSON'), 1), (('Clara', 'PERSON'), 1), (('Louise', 'PERSON'), 1), (('Madame', 'PERSON'), 1), (('Selitsky', 'PERSON'), 1), (('Hurrah', 'PERSON'), 1), (('Lawful', 'PERSON'), 1), (('Hills', 'PERSON'), 1), (('Gilif', 'PERSON'), 1), (('Phillipss', 'PERSON'), 1), (('Dearest', 'PERSON'), 1), (('With', 'PERSON'), 1), (('Ned', 'PERSON'), 1), (('Marillaespecially', 'PERSON'), 1), (('Then', 'PERSON'), 1), (('Stacys', 'PERSON'), 1), (('Sampson', 'PERSON'), 1), (('Milton', 'PERSON'), 1), (('Clark', 'PERSON'), 1), (('Winnie', 'PERSON'), 1), (('Adella', 'PERSON'), 1), (('Billywho', 'PERSON'), 1), (('Annewho', 'PERSON'), 1), (('Blythehe', 'PERSON'), 1), (('Evanss', 'PERSON'), 1), (('Beechwood', 'PERSON'), 1), (('Queens', 'PERSON'), 1), (('An', 'PERSON'), 1), (('Boys', 'PERSON'), 1), (('Grant', 'PERSON'), 1), (('Lewis', 'PERSON'), 1), (('Ethel', 'PERSON'), 1), (('Marr', 'PERSON'), 1), (('Andrewsplain', 'PERSON'), 1), (('Tremaine', 'PERSON'), 1), (('Everybody', 'PERSON'), 1), (('Medalist', 'PERSON'), 1), (('Ames', 'PERSON'), 1), (('Abbey', 'PERSON'), 1), (('Russell', 'PERSON'), 1), (('They', 'PERSON'), 1), (('Marillaand', 'PERSON'), 1), (('YesnoI', 'PERSON'), 1), (('Blind', 'PERSON'), 1), (('Gablesnothing', 'PERSON'), 1), (('Josiah', 'PERSON'), 1), (('Allens', 'PERSON'), 1), (('meanI', 'PERSON'), 1), (('Youve', 'PERSON'), 1)]",Anne of Green Gables
